ts;te;td;sa;da;sp;dp;pr;flg;ipkt;ibyt
11/01/13 07:50;01/03/13 23:52;4.294.967.268;10.1.1.10;177.21.244.27;23541;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:52;4.294.967.268;177.21.244.27;10.1.1.10;80;23541;TCP;.A..SF;2;88
11/01/13 07:56;01/03/13 23:53;4.294.637.100;10.1.1.10;173.194.34.117;30459;443;TCP;.AP.SF;26;6576
11/01/13 07:56;01/03/13 23:53;4.294.637.100;173.194.34.117;10.1.1.10;443;30459;TCP;.AP.SF;32;6267
01/03/13 23:53;01/03/13 23:53;0.000;10.1.1.10;200.19.73.231;33348;12223;UDP;......;1;75
11/01/13 07:50;01/03/13 23:53;4.294.967.267;10.1.1.10;177.21.244.27;4440;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:53;4.294.967.267;177.21.244.27;10.1.1.10;80;4440;TCP;.A..SF;2;88
11/01/13 07:50;01/03/13 23:53;4.294.967.267;10.1.1.10;177.21.244.27;36475;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:53;4.294.967.267;177.21.244.27;10.1.1.10;80;36475;TCP;.A..SF;3;128
11/01/13 07:50;01/03/13 23:53;4.294.955.703;10.1.1.15;197.241.135.153;8080;53166;TCP;.A..SF;4;196
11/01/13 07:50;01/03/13 23:53;4.294.955.703;197.241.135.153;10.1.1.15;53166;8080;TCP;.AP.SF;6;332
11/01/13 07:53;01/03/13 23:55;4.294.956.691;10.1.1.15;77.248.68.51;8080;53634;TCP;.AP.SF;4;663
11/01/13 07:53;01/03/13 23:55;4.294.956.691;77.248.68.51;10.1.1.15;53634;8080;TCP;.APRSF;5;521
01/03/13 23:53;01/03/13 23:53;0.000;10.1.1.10;200.19.73.231;56091;12223;UDP;......;1;75
11/01/13 07:50;01/03/13 23:53;4.294.967.147;10.1.1.10;177.21.244.27;8857;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:53;4.294.967.147;177.21.244.27;10.1.1.10;80;8857;TCP;.A..SF;2;88
11/01/13 07:50;01/03/13 23:53;4.294.966.722;10.1.1.15;187.171.168.51;8080;59458;TCP;.AP.SF;5;537
11/01/13 07:50;01/03/13 23:53;4.294.966.722;187.171.168.51;10.1.1.15;59458;8080;TCP;.AP.SF;5;433
11/01/13 07:50;01/03/13 23:53;4.294.946.937;10.1.1.15;190.150.169.199;8080;44218;TCP;.A..SF;3;144
11/01/13 07:50;01/03/13 23:53;4.294.946.937;190.150.169.199;10.1.1.15;44218;8080;TCP;.AP.SF;5;280
11/01/13 07:50;01/03/13 23:53;4.294.967.267;10.1.1.10;177.21.244.27;20008;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:53;4.294.967.267;177.21.244.27;10.1.1.10;80;20008;TCP;.A..SF;2;88
11/01/13 07:50;01/03/13 23:53;4.294.967.267;10.1.1.10;177.21.244.27;19868;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:53;4.294.967.267;177.21.244.27;10.1.1.10;80;19868;TCP;.A..SF;2;88
11/01/13 07:50;01/03/13 23:53;4.294.947.157;10.1.1.15;187.59.48.42;8080;56973;TCP;.A..SF;3;172
11/01/13 07:50;01/03/13 23:53;4.294.947.157;187.59.48.42;10.1.1.15;56973;8080;TCP;.A..SF;5;280
11/01/13 07:50;01/03/13 23:53;4.294.947.156;10.1.1.15;187.59.48.42;8080;56974;TCP;.A..SF;3;172
11/01/13 07:50;01/03/13 23:53;4.294.947.156;187.59.48.42;10.1.1.15;56974;8080;TCP;.A..SF;5;280
11/01/13 07:50;01/03/13 23:53;4.294.947.153;10.1.1.15;187.59.48.42;8080;56975;TCP;.A..SF;3;172
11/01/13 07:50;01/03/13 23:53;4.294.947.153;187.59.48.42;10.1.1.15;56975;8080;TCP;.A..SF;5;280
11/01/13 07:50;01/03/13 23:53;4.294.947.151;10.1.1.15;187.59.48.42;8080;56976;TCP;.A..SF;3;172
11/01/13 07:50;01/03/13 23:53;4.294.947.151;187.59.48.42;10.1.1.15;56976;8080;TCP;.A..SF;5;280
11/01/13 07:50;01/03/13 23:53;4.294.947.148;10.1.1.15;187.59.48.42;8080;56977;TCP;.A..SF;3;172
11/01/13 07:50;01/03/13 23:53;4.294.947.148;187.59.48.42;10.1.1.15;56977;8080;TCP;.A..SF;5;280
11/01/13 07:50;01/03/13 23:53;4.294.947.136;10.1.1.15;187.59.48.42;8080;56978;TCP;.A..SF;4;232
11/01/13 07:50;01/03/13 23:53;4.294.947.136;187.59.48.42;10.1.1.15;56978;8080;TCP;.A..SF;5;280
11/01/13 07:50;01/03/13 23:53;4.294.967.268;10.1.1.10;177.21.244.27;10097;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:53;4.294.967.268;177.21.244.27;10.1.1.10;80;10097;TCP;.A..SF;2;88
11/01/13 07:51;01/03/13 23:53;4.294.907.096;10.1.1.10;177.21.244.57;60443;80;TCP;.AP.SF;6;1264
11/01/13 07:51;01/03/13 23:53;4.294.907.096;177.21.244.57;10.1.1.10;80;60443;TCP;.AP.SF;6;1872
11/01/13 07:50;01/03/13 23:53;4.294.967.275;10.1.1.10;216.239.32.10;25702;53;UDP;......;1;77
11/01/13 07:50;01/03/13 23:53;4.294.967.275;216.239.32.10;10.1.1.10;53;25702;UDP;......;1;357
11/01/13 07:50;01/03/13 23:53;4.294.967.260;8.8.8.8;10.1.1.10;53;13205;UDP;......;1;357
11/01/13 07:50;01/03/13 23:53;4.294.967.260;10.1.1.10;8.8.8.8;13205;53;UDP;......;1;77
11/01/13 07:51;01/03/13 23:53;4.294.907.113;10.1.1.10;177.21.244.53;32821;80;TCP;.AP.SF;14;5098
11/01/13 07:51;01/03/13 23:53;4.294.907.113;177.21.244.53;10.1.1.10;80;32821;TCP;.AP.SF;14;12919
11/01/13 07:50;01/03/13 23:53;4.294.967.274;10.1.1.10;216.239.32.10;46224;53;UDP;......;1;77
11/01/13 07:50;01/03/13 23:53;4.294.967.274;216.239.32.10;10.1.1.10;53;46224;UDP;......;1;333
11/01/13 07:50;01/03/13 23:53;4.294.967.147;10.1.1.10;177.21.244.27;58537;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:53;4.294.967.147;177.21.244.27;10.1.1.10;80;58537;TCP;.A..SF;2;88
